StateAbbr,StateDesc,CountyName,CountyFIPS,TractFIPS,TotalPopulation,TotalPop18plus,ACCESS2_CrudePrev,ARTHRITIS_CrudePrev,BINGE.DRINKING,HIGH.BLOOD.PRESSURE,BPMED_CrudePrev,CANCER..EXCLUDING.SKIN.CANCER.,ASTHMA,CORONARY.HEART.DISEASE,CHECKUP_CrudePrev,CHOLSCREEN_CrudePrev,COLON_SCREEN_CrudePrev,COPD_CrudePrev,CSMOKING_CrudePrev,DENTAL_CrudePrev,DEPRESSION,DIABETES,GENERAL.HEALTH,HIGH.CHOLESTEROL,LPA_CrudePrev,MAMMOUSE_CrudePrev,POOR.MENTAL.HEALTH,OBESITY,POOR.PHYSICAL.HEALTH,SLEEP_CrudePrev,STROKE_CrudePrev,TEETHLOST_CrudePrev,HEARING_CrudePrev,VISION_CrudePrev,COGNITION_CrudePrev,"MOBILITY_CrudePrev	",SELFCARE_CrudePrev,INDEPLIVE_CrudePrev,DISABILITY_CrudePrev,Geolocation
LA,Louisiana,Ascension,22005,22005030105,6741,4650,10,24,23,30,70,6,10,5,75,84,66,7,21,59,29,10,18,33,26,80,22,38,13,41,3,13,6,5,20,12,4,9,33,POINT (-90.8738209 30.3121062)
LA,Louisiana,Ascension,22005,22005030106,2353,1793,8,29,21,36,77,9,10,7,78,87,69,8,18,65,29,11,18,39,25,77,19,36,14,37,3,13,7,5,18,13,4,9,33,POINT (-90.8374729 30.2918066)
LA,Louisiana,Ascension,22005,22005030107,3167,2422,8,29,22,35,78,8,10,7,77,87,68,9,20,63,28,12,19,38,27,79,19,35,14,38,4,10,8,5,18,15,4,9,35,POINT (-90.8400937 30.2514334)
LA,Louisiana,Ascension,22005,22005030207,6372,4599,6,25,22,33,76,7,9,5,79,89,66,5,14,71,25,10,13,36,20,83,16,34,10,38,3,6,5,4,13,10,3,6,26,POINT (-90.9916004 30.3177555)
LA,Louisiana,Ascension,22005,22005030208,4410,3118,6,22,25,28,71,6,9,5,76,86,69,5,14,70,27,8,13,32,19,84,18,34,10,37,2,9,5,3,14,9,2,6,26,POINT (-90.9672845 30.3278207)
LA,Louisiana,Ascension,22005,22005030209,2641,1878,6,25,23,32,75,7,9,5,78,88,69,6,15,71,26,10,14,36,21,81,17,34,11,37,3,10,6,4,14,11,3,6,27,POINT (-90.9383261 30.3356816)
LA,Louisiana,Ascension,22005,22005030210,5952,4162,7,25,22,32,76,7,10,5,77,89,68,6,16,67,26,10,16,34,22,83,18,35,11,38,3,7,5,4,16,11,3,7,29,POINT (-90.9581117 30.3135289)
LA,Louisiana,Ascension,22005,22005030211,6881,4853,7,25,23,32,75,7,10,6,78,88,69,6,15,69,27,10,15,35,22,82,18,35,11,39,3,10,6,4,15,11,3,7,28,POINT (-90.9203011 30.311314)
LA,Louisiana,Ascension,22005,22005030212,7182,5140,7,23,23,31,74,7,9,5,78,89,70,5,13,71,25,10,13,33,20,85,16,35,10,38,3,7,5,4,13,10,3,6,26,POINT (-90.9675775 30.2813652)
LA,Louisiana,Ascension,22005,22005030213,4918,3484,8,25,22,32,74,7,10,5,78,87,64,7,16,66,27,11,17,34,23,81,18,36,12,39,3,10,6,5,16,12,3,8,30,POINT (-90.9592937 30.263501)
LA,Louisiana,Ascension,22005,22005030214,5946,4366,12,26,20,33,73,6,11,6,77,85,62,8,20,56,28,13,23,34,30,79,21,39,15,41,4,18,7,7,21,16,5,11,37,POINT (-90.9406661 30.2908241)
LA,Louisiana,Ascension,22005,22005030215,5411,3960,10,28,21,35,76,7,11,7,77,85,66,9,20,60,28,13,21,37,28,78,20,39,15,41,4,12,7,6,19,15,4,10,36,POINT (-90.9188895 30.2736093)
LA,Louisiana,Ascension,22005,22005030301,5172,3540,6,24,23,32,75,7,9,5,79,89,68,5,12,73,25,10,13,35,18,82,15,33,10,36,3,9,5,4,12,9,3,6,25,POINT (-91.0085261 30.2957807)
LA,Louisiana,Ascension,22005,22005030302,5614,4156,6,26,20,36,78,8,10,6,82,91,74,5,12,73,22,12,14,36,20,84,15,36,10,39,3,6,5,4,12,11,3,6,26,POINT (-90.9437308 30.1580109)
