CENSUS TRACT,2010 POPULATION,LACKING HEALTH INSURANCE,ARTHRITIS,BINGE DRINKING,HIGH BLOOD PRESSURE,BLOOD PRESSURE MEDICINE,CANCER (EXCLUDING SKIN CANCER),ASTHMA,CERVICAL CANCER SCREENING,CORONARY HEART DISEASE,ROUTINE CHECKUP,CHOLESTEROL SCREENING,COLON SCREENING,COPD,MEN CORE PREVENTATIVE SERVICES,WOMEN CORE PREVENTATIVE SERVICES,CURRENT SMOKER,DENTAL VISIT,DEPRESSION,DIABETES,GENERAL HEALTH,HIGH CHOLESTEROL,CHRONIC KIDNEY DISEASE,NO LEISURE-TIME PHYSICAL ACTIVITY,MAMMOGRAPHY USE FOR OLDER WOMEN,POOR MENTAL HEALTH,OBESITY,POOR PHYSICAL HEALTH,LESS THAN 7 HOURS SLEEP,STROKE,SENIORS WITH ALL TEETH LOST,GEOLOCATION
22033004602,"5,679",12.60%,26.70%,21%,40.90%,77.40%,7.10%,9.20%,85.90%,6.50%,82.30%,89%,66.80%,6.90%,28.50%,24.90%,19.10%,60.50%,23.90%,12.30%,19.30%,33.50%,3.40%,29.80%,80.80%,16.20%,35.90%,13.40%,39.60%,4%,16.60%,POINT (-91.12608632 30.66577228)
22033004603,"4,536",11.60%,23.10%,22.60%,38.80%,75.10%,5.80%,8.80%,88.20%,5.10%,82%,89.50%,68.20%,5.50%,29.70%,27.70%,17.90%,65.60%,22.10%,11.10%,17.20%,31.70%,2.90%,27%,82.40%,14.70%,36%,11.70%,39.10%,3.30%,12.90%,POINT (-91.24668265 30.63066169)
22033004604,"10,962",10.20%,21.70%,24.70%,33.40%,72.60%,6%,8.30%,87.70%,4.50%,80%,88.70%,67.50%,5%,30.80%,28.70%,16.80%,65.10%,23.90%,8.60%,14.20%,30.70%,2.40%,23.70%,80.80%,14.40%,32.60%,10.50%,37.90%,2.60%,12.90%,POINT (-91.17613823 30.66507111)
22033004700,"5,610",13.60%,27%,22.10%,40.30%,76.60%,6.80%,9.20%,84.40%,6.80%,80.40%,87.90%,64.40%,7.90%,27.70%,25.70%,22.10%,58.50%,25.80%,12.20%,21%,34.80%,3.30%,31%,78.90%,17.30%,36.20%,14.70%,39.10%,4%,18%,POINT (-90.98441913 30.66818266)
22033004800,"3,732",9.40%,19%,25.70%,27.50%,71.60%,6.10%,8.20%,77.10%,5.40%,77.90%,83.40%,66.80%,4.80%,30.80%,23.60%,12.10%,66%,24.80%,6.80%,12.40%,26.80%,2.50%,22.30%,80.60%,16%,24.60%,9.60%,32.40%,2.60%,13.80%,POINT (-91.1643971 30.40085693)
22033004900,"4,673",7.60%,23.10%,23.90%,32.30%,76.70%,7.50%,7.40%,86.40%,5.30%,80.60%,89%,73%,4.80%,36.60%,32.40%,11.80%,76.30%,23%,8.30%,11.70%,34%,2.50%,19.80%,81.50%,12.20%,26.40%,9.50%,30.50%,2.50%,6.70%,POINT (-91.14152381 30.39138885)
22033005000,"3,203",6.20%,25.70%,22.10%,35.30%,79.70%,9.20%,6.90%,88.90%,5.80%,83%,92.50%,75%,4.70%,38.30%,33.80%,10%,78.40%,21.40%,8.60%,10.70%,36.90%,2.70%,18.50%,80.80%,10.30%,26%,9%,29.40%,2.70%,6.30%,POINT (-91.124526 30.38153458)
22033005100,"2,944",16.90%,25.80%,19.80%,43.50%,75.50%,5.40%,10.60%,80.80%,7.20%,80.90%,85.70%,60.80%,8.40%,22.30%,20.90%,23.80%,48.20%,24.70%,15.10%,26.20%,31.60%,4.10%,36.10%,83.40%,20%,41.10%,16.60%,43.30%,4.90%,25.80%,POINT (-91.18340151 30.46109298)
22033005200,"1,946",18.30%,26%,19.60%,44.90%,76.10%,5.60%,10.70%,82.80%,7.10%,81.80%,86%,59.80%,8.10%,20.80%,18.80%,24.20%,46.20%,23.50%,15.70%,27.10%,31.70%,4.20%,37.30%,83%,19.30%,41.50%,16.40%,45%,5.30%,29.40%,POINT (-91.18716752 30.43915052)
22033005300,"3,076",24.60%,29.80%,17.10%,51.90%,77%,5.10%,12.20%,79.90%,9.60%,80.80%,83.20%,52.20%,12.10%,17.90%,16%,34%,36.20%,25.60%,20.70%,38.80%,33.70%,5.50%,48.10%,82.70%,24.50%,48.60%,23.30%,48.40%,7.30%,39.70%,POINT (-91.17346326 30.44897292)
